City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,nagato,34.3833,131.2,284.83,66,96,2.97,JP,1676605167
343,mbaiki,3.8678,17.9892,293.69,29,100,1.71,CF,1676605168
344,concarneau,47.875,-3.9225,283.59,97,97,3.36,FR,1676605168
345,porbandar,21.6422,69.6093,290.14,72,0,0.0,IN,1676605169
346,goundam,16.4145,-3.6708,296.24,13,100,8.17,ML,1676605169
347,helong,42.5397,128.9972,275.74,55,47,5.45,CN,1676605170
348,diamantino,-14.4086,-56.4461,295.48,97,99,2.69,BR,1676605170
349,laguna,38.421,-121.4238,282.77,57,0,0.0,US,1676605171
350,aranos,-24.1333,19.1167,293.27,38,21,4.25,NA,1676605171
351,lorengau,-2.0226,147.2712,301.46,77,100,4.27,PG,1676605172
352,sangmelima,2.9333,11.9833,291.25,99,63,1.05,CM,1676605172
353,thiers,45.8333,3.5,280.33,72,87,1.23,FR,1676605173
354,royan,45.6285,-1.0281,283.03,88,86,3.08,FR,1676605174
355,ayni,39.3941,68.5377,280.87,97,100,2.33,TJ,1676605174
356,itacare,-14.2775,-38.9967,298.61,84,100,2.45,BR,1676605175
357,noumea,-22.2763,166.4572,299.14,72,62,6.74,NC,1676605175
358,zhanaozen,43.3,52.8,269.59,75,82,0.93,KZ,1676605176
359,vestmannaeyjar,63.4427,-20.2734,274.61,68,18,10.1,IS,1676605176
360,dalton,34.7698,-84.9702,291.42,98,100,4.12,US,1676605176
361,lahij,13.1667,44.5833,293.19,81,1,0.43,YE,1676605177
362,missoula,47.0166,-113.8009,266.24,76,44,1.31,US,1676604901
